,Title
0,The Shawshank Redemption
1,The Godfather
2,The Godfather: Part II
3,The Dark Knight
4,12 Angry Men
5,Schindler's List
6,The Lord of the Rings: The Return of the King
7,Pulp Fiction
8,Fight Club
9,The Lord of the Rings: The Fellowship of the Ring
10,Forrest Gump
11,Star Wars: Episode V - The Empire Strikes Back
12,Inception
13,The Lord of the Rings: The Two Towers
14,One Flew Over the Cuckoo's Nest
15,Goodfellas
16,The Matrix
17,Star Wars: Episode IV - A New Hope
18,Se7en
19,It's a Wonderful Life
20,The Silence of the Lambs
21,The Usual Suspects
22,Léon: The Professional
23,Saving Private Ryan
24,City Lights
25,Interstellar
26,American History X
27,Modern Times
28,Casablanca
29,The Green Mile
30,Psycho
31,Raiders of the Lost Ark
32,The Pianist
33,Rear Window
34,The Departed
35,Whiplash
36,Terminator 2: Judgment Day
37,Back to the Future
38,Gladiator
39,The Lion King
40,The Prestige
41,Apocalypse Now
42,Memento
43,The Great Dictator
44,Sunset Boulevard
45,Alien
46,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
47,Paths of Glory
48,Django Unchained
49,The Shining
50,Witness for the Prosecution
51,The Dark Knight Rises
52,WALL·E
53,American Beauty
54,Once Upon a Time in America
55,Aliens
56,Citizen Kane
57,North by Northwest
58,Vertigo
59,Star Wars: Episode VI - Return of the Jedi
60,Braveheart
61,Reservoir Dogs
62,Double Indemnity
63,Requiem for a Dream
64,Lawrence of Arabia
65,The Kid
66,A Clockwork Orange
67,Amadeus
68,To Kill a Mockingbird
69,Eternal Sunshine of the Spotless Mind
70,Singin' in the Rain
71,Taxi Driver
72,The Sting
73,Toy Story 3
74,2001: A Space Odyssey
75,Full Metal Jacket
76,Baby Driver
77,Toy Story
78,Inglourious Basterds
79,Snatch
80,The Apartment
81,All About Eve
82,Monty Python and the Holy Grail
83,Scarface
84,L.A. Confidential
85,Good Will Hunting
86,The Treasure of the Sierra Madre
87,Indiana Jones and the Last Crusade
88,Some Like It Hot
89,Batman Begins
90,Up
91,The Third Man
92,Unforgiven
93,Judgment at Nuremberg
94,Raging Bull
95,The Great Escape
96,Heat
97,Die Hard
98,The Gold Rush
99,Chinatown
100,On the Waterfront
101,Mr. Smith Goes to Washington
102,The General
103,Inside Out
104,The Bridge on the River Kwai
105,Room
106,La La Land
107,Logan
108,Blade Runner
109,"Lock, Stock and Two Smoking Barrels"
110,Casino
111,A Beautiful Mind
112,The Elephant Man
113,Warrior
114,V for Vendetta
115,The Wolf of Wall Street
116,Dial M for Murder
117,Hacksaw Ridge
118,Gone with the Wind
119,The Message
120,Rebecca
121,Trainspotting
122,The Deer Hunter
123,Cool Hand Luke
124,Gran Torino
125,The Big Lebowski
126,The Thing
127,It Happened One Night
128,Fargo
129,The Sixth Sense
130,Finding Nemo
131,Mary and Max
132,No Country for Old Men
133,How to Train Your Dragon
134,There Will Be Blood
135,Into the Wild
136,Kill Bill: Vol. 1
137,Gone Girl
138,Life of Brian
139,Network
140,Shutter Island
141,In the Name of the Father
142,Rush
143,Hotel Rwanda
144,Platoon
145,Song of the Sea
146,Ben-Hur
147,Stand by Me
148,Hachi: A Dog's Tale
149,Kind Hearts and Coronets
150,The Maltese Falcon
151,Butch Cassidy and the Sundance Kid
152,The Legend of 1900
153,Spotlight
154,Brief Encounter
155,The Best Years of Our Lives
156,The Grapes of Wrath
157,12 Years a Slave
158,The Grand Budapest Hotel
159,Mad Max: Fury Road
160,The Princess Bride
161,What Ever Happened to Baby Jane?
162,Million Dollar Baby
163,Jurassic Park
164,Touch of Evil
165,Spider-Man: Homecoming
166,Before Sunrise
167,The Truman Show
168,Harry Potter and the Deathly Hallows: Part 2
169,Star Wars: The Force Awakens
170,"Paris, Texas"
171,The Last Picture Show
172,Gandhi
173,Barry Lyndon
174,Rocky
175,Annie Hall
176,Prisoners
177,Donnie Darko
178,Catch Me If You Can
179,The Man Who Shot Liberty Valance
180,Laura
181,"Monsters, Inc."
182,The Bourne Ultimatum
183,Cat on a Hot Tin Roof
184,The Wizard of Oz
185,Sleuth
186,Roman Holiday
187,Out of the Past
188,Anatomy of a Murder
189,Who's Afraid of Virginia Woolf?
190,The Terminator
191,Groundhog Day
192,The Help
193,Strangers on a Train
194,The Night of the Hunter
195,All Quiet on the Western Front
196,Beauty and the Beast
197,Lion
198,Twelve Monkeys
199,Guardians of the Galaxy
200,Dog Day Afternoon
201,Jaws
202,Zootopia
203,Guardians of the Galaxy Vol. 2
204,Pirates of the Caribbean: The Curse of the Black Pearl
205,Before Sunset
206,The Imitation Game
207,Young Frankenstein
208,Stalag 17
209,Dogville
210,Dead Poets Society
211,High Noon
212,Papillon
213,A Streetcar Named Desire
214,Arsenic and Old Lace
215,Sin City
216,The Hustler
217,A Night at the Opera
218,The Killing
219,The Avengers
220,Notorious
221,Harvey
222,The Martian
223,The Exorcist
224,Rio Bravo
225,The Philadelphia Story
226,Rope
227,The Big Sleep
228,Pink Floyd: The Wall
229,The King's Speech
230,A Christmas Story
231,The Graduate
232,JFK
233,Sling Blade
234,Blood Diamond
235,Magnolia
236,Rain Man
237,The Revenant
238,The Nightmare Before Christmas
239,The Manchurian Candidate
240,Deadpool
241,The Wild Bunch
242,Aladdin
243,Big Fish
244,Patton
245,The Lost Weekend
246,Short Term 12
247,His Girl Friday
248,The Straight Story
249,Slumdog Millionaire
